title,link,date_posted,posted_until,main_agency,department,job_location,work_location,job_type,salary,category,experience_level,title_classification,job_id,num_positions
Director of Infrastructure Management,https://cityjobs.nyc.gov/job/director-of-infrastructure-management-in-nyc-all-boros-jid-37351,2025-10-17,2025-12-15,NYC HOUSING AUTHORITY,IT Infrastructure & Operations,NYC-ALL BOROS,I&O-Infrastructure Management,Full-Time,"$94,050.00 – $180,000.00","Technology, Data & Innovation",Manager,Exam May Be Required,749210,1
Training Coordinator,https://cityjobs.nyc.gov/job/training-coordinator-in-manhattan-jid-37085,2025-10-07,2026-01-14,DEPARTMENT OF INVESTIGATION,Training,MANHATTAN,180 Maiden Lane,Full-Time,"$52,426.00 – $56,536.00","Public Safety, Inspections, & Enforcement",Entry-Level,No Exam Required,748781,1
Confidential Investigator,https://cityjobs.nyc.gov/job/confidential-investigator-in-manhattan-jid-36782,2025-09-25,2026-01-15,DEPARTMENT OF INVESTIGATION,Squad 3,MANHATTAN,180 Maiden Lane,Full-Time,"$74,642.00 – $81,346.00","Public Safety, Inspections, & Enforcement",Experienced (Non-Manager),No Exam Required,739889,1
Coordinator (Sustainability),https://cityjobs.nyc.gov/job/coordinator-sustainability-in-queens-jid-37350,2025-10-17,,DEPT OF DESIGN & CONSTRUCTION,INFRA/DSGN/SEC.6/SUSTAINCORD,QUEENS,30-30 Thomson Ave L I City Qns,Full-Time,"$66,330.00 – $76,279.00","Engineering, Architecture, & Planning",Experienced (Non-Manager),Exam May Be Required,726660,1
Business Analyst,https://cityjobs.nyc.gov/job/business-analyst-in-brooklyn-jid-35485,2025-08-09,2025-10-19,FIRE DEPARTMENT,Bureau Of Tech Deve And Syst,BROOKLYN,"9 Metrotech Center, Brooklyn N",Full-Time,"$75,000.00 – $119,000.00","Technology, Data & Innovation",Experienced (Non-Manager),No Exam Required,724596,1
Procurement Analyst,https://cityjobs.nyc.gov/job/procurement-analyst-in-brooklyn-jid-36220,2025-09-06,2025-10-31,DISTRICT ATTORNEY KINGS COUNTY,Procurement Unit,BROOKLYN,"350 Jay St, Brooklyn Ny",Full-Time,"$68,213.00 – $73,561.00","Finance, Accounting, & Procurement",Experienced (Non-Manager),No Exam Required,725884,1
College Aide,https://cityjobs.nyc.gov/job/college-aide-in-manhattan-jid-37349,2025-10-17,2026-04-14,DEPARTMENT FOR THE AGING,OFFICE EMERG PREP & RESPONSE,MANHATTAN,"2 Lafayette St., N.Y.",Part-Time,$17.00 – $21.40,Constituent Services & Community Programs,Student,No Exam Required,725484,1
Confidential Investigator,https://cityjobs.nyc.gov/job/confidential-investigator-in-manhattan-jid-35388,2025-08-06,2026-04-14,DEPARTMENT OF INVESTIGATION,Squad 12,MANHATTAN,180 Maiden Lane,Full-Time,"$74,642.00 – $81,346.00","Public Safety, Inspections, & Enforcement",Experienced (Non-Manager),No Exam Required,723819,1
Reasonable Accommodation Sp,https://cityjobs.nyc.gov/job/reasonable-accommodation-sp-in-manhattan-jid-37226,2025-10-11,2025-11-09,ADMIN FOR CHILDREN'S SVCS,Equal Emplyment Opportunity-Cr,MANHATTAN,110 William St. N Y,Full-Time,"$62,868.00 – $97,593.00",Administration & Human Resources,Experienced (Non-Manager),No Exam Required,727309,1
Motor Vehicle Operator,https://cityjobs.nyc.gov/job/motor-vehicle-operator-in-nyc-all-boros-jid-37348,2025-10-17,2025-10-31,DEPT OF HEALTH/MENTAL HYGIENE,OCME - Transportation,NYC-ALL BOROS,421 East 26th Street NY NY,Full-Time,"$46,441.00 – $58,020.00",Health,Experienced (Non-Manager),Exam May Be Required,716042,1
Stationary Engineer,https://cityjobs.nyc.gov/job/stationary-engineer-in-nyc-all-boros-jid-32779,2025-05-06,2025-11-15,DEPT OF CITYWIDE ADMIN SVCS,FAC MGMT/BS_MAN MUNI BLDG,NYC-ALL BOROS,"1 Centre St., N.Y.",Full-Time,$591.20 – $591.20,Building Operations & Maintenance,Experienced (Non-Manager),Exam May Be Required,713475,3
"Interstate Liaison, Bureau of Tuberculosis Control",https://cityjobs.nyc.gov/job/interstate-liaison-bureau-of-tuberculosis-control-in-queens-jid-31873,2025-04-04,2026-04-03,DEPT OF HEALTH/MENTAL HYGIENE,TB Surveillance & Epidemiology,QUEENS,30-30 47TH AVE,Full-Time,"$70,967.00 – $70,967.00",Health,Experienced (Non-Manager),Exam May Be Required,709420,1
Confidential Investigator,https://cityjobs.nyc.gov/job/confidential-investigator-in-outside-nyc-jid-28699,2024-12-24,2026-10-12,DEPARTMENT OF INVESTIGATION,BT2 - Marlboro,OUTSIDE NYC,5503 Route 9W Marlboro,Full-Time,"$50,775.00 – $58,104.00","Public Safety, Inspections, & Enforcement",Experienced (Non-Manager),No Exam Required,694671,1
CASE MANAGEMENT NURSE,https://cityjobs.nyc.gov/job/case-management-nurse-in-brooklyn-jid-32141,2025-04-15,2025-10-27,FIRE DEPARTMENT,Medical,BROOKLYN,"9 Metrotech Center, Brooklyn N",Full-Time,"$106,301.00 – $106,301.00",Health,Experienced (Non-Manager),No Exam Required,710210,1
ASSISTANT TO THE DIRECTOR & INTAKE/REFERRAL CLERK,https://cityjobs.nyc.gov/job/assistant-to-the-director-and-intake-referral-clerk-in-manhattan-jid-23933,2024-06-11,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Adult Protective Services-NM,MANHATTAN,"400 8Th Ave., N.Y.",Full-Time,"$39,763.00 – $45,728.00",Green Jobs,Experienced (Non-Manager),Exam May Be Required,637940,1
"Quality Assurance & Compliance Specialist, BMH, Bureau of Mental Health",https://cityjobs.nyc.gov/job/quality-assurance-and-compliance-specialist-bmh-bureau-of-mental-health-in-queens-jid-36657,2025-09-19,2026-09-18,DEPT OF HEALTH/MENTAL HYGIENE,Mental Health,QUEENS,42-09 28th Street,Full-Time,"$87,743.00 – $100,904.00","Policy, Research & Analysis",Experienced (Non-Manager),No Exam Required,736682,1
"Assistant Director, Service Desk Operations (Technical Implementation Administrator)",https://cityjobs.nyc.gov/job/assistant-director-service-desk-operations-technical-implementation-administrator-in-manhattan-jid-35355,2025-08-06,,MAYORS OFFICE OF CONTRACT SVCS,Technology,MANHATTAN,255 Greenwich Street,Full-Time,"$95,000.00 – $101,000.00","Finance, Accounting, & Procurement",Manager,No Exam Required,721684,1
ACCOUNTABLE MANAGER,https://cityjobs.nyc.gov/job/accountable-manager-in-queens-jid-28908,2025-01-01,,DEPT OF ENVIRONMENT PROTECTION,PROJECT MANAGEMENT AND CONSTR.,QUEENS,96-05 Horace Harding Expway,Full-Time,"$101,423.00 – $137,501.00","Engineering, Architecture, & Planning",Experienced (Non-Manager),Exam May Be Required,687191,1
Senior Project Manager,https://cityjobs.nyc.gov/job/senior-project-manager-in-queens-jid-34128,2025-06-21,,DEPT OF DESIGN & CONSTRUCTION,PUB BLDGS/CPD/VARIOUS,QUEENS,30-30 Thomson Ave L I City Qns,Full-Time,"$86,749.00 – $99,761.00","Engineering, Architecture, & Planning",Experienced (Non-Manager),Exam May Be Required,716963,4
